,AGE,NUM_OF_BASKETS,RACE_LE,GENDER_LE,BODY_SIZE_LE,WITH_KIDS_LE,KIDS_CATEGORY_LE,BASKET_SIZE_LE,BASKET_COLOUR_LE,ATTIRE_LE,SHIRT_COLOUR_LE,SHIRT_TYPE_LE,PANTS_COLOUR_LE,PANTS_TYPE_LE,WASH_ITEM_LE,WASHER_NO_LE,DRYER_NO_LE,SPECTACLES_LE,DAY_LE,DAY_TYPE_LE
0,28.0,1.0,3,1,1,1,4,0,8,0,2,1,0,1,1,0,3,0,1,0
1,32.0,3.0,3,1,2,0,1,0,9,0,10,1,2,0,1,3,2,0,1,0
2,30.0,1.0,3,0,1,0,1,0,1,0,9,1,0,0,1,1,3,0,1,0
3,51.0,1.0,2,1,2,0,1,0,0,0,0,1,13,1,1,2,2,0,1,0
4,34.0,3.0,2,1,1,0,1,0,1,0,2,1,12,0,1,0,2,0,1,0
5,50.0,3.0,3,1,0,0,1,0,9,0,3,1,2,0,1,1,1,0,1,0
6,45.0,2.0,3,0,0,0,1,0,6,2,2,1,0,0,1,2,3,0,1,0
7,49.0,3.0,2,1,2,0,1,0,1,0,10,1,5,0,1,0,2,0,5,0
8,30.0,2.0,2,1,2,0,1,1,7,0,10,1,0,1,1,3,3,0,5,0
9,33.0,3.0,0,0,1,0,1,1,6,0,10,1,2,1,1,2,0,0,5,0
10,45.0,3.0,3,0,1,0,1,0,8,0,10,1,7,1,1,1,1,0,5,0
11,37.0,3.0,3,1,1,0,1,0,1,0,3,1,0,0,1,1,1,0,5,0
12,39.0,3.0,3,0,1,0,1,0,1,0,2,0,2,0,1,0,0,0,5,0
13,32.0,1.0,3,1,1,0,1,0,10,0,11,1,0,0,1,0,2,1,5,0
14,55.0,3.0,3,0,1,1,4,0,8,0,3,0,7,0,1,0,1,1,5,0
15,33.0,1.0,3,1,2,0,1,0,2,1,10,0,5,0,1,2,2,0,5,0
16,55.0,1.0,3,0,2,1,3,0,1,0,3,0,7,0,1,1,0,0,5,0
17,39.0,39.0,3,1,0,1,2,0,9,0,5,1,7,0,1,2,2,0,5,0
18,55.0,1.0,3,0,0,1,1,0,1,2,10,0,8,0,1,3,0,0,5,0
19,50.0,2.0,3,0,1,1,4,0,6,0,4,0,7,0,1,2,3,0,5,0
20,34.0,1.0,2,1,0,0,1,0,0,0,9,1,7,0,1,0,3,0,5,0
21,53.0,1.0,3,1,1,1,0,0,6,1,9,0,0,0,1,2,2,0,5,0
22,38.0,1.0,3,0,0,1,4,0,9,0,9,1,4,0,0,0,0,0,5,0
23,29.0,3.0,0,0,2,0,1,1,9,0,3,1,1,0,1,0,0,1,5,0
24,44.0,1.0,0,0,1,0,1,0,9,0,10,1,0,0,1,2,0,0,5,0
25,42.0,3.0,0,0,1,0,1,1,5,0,0,1,0,0,1,0,1,0,5,0
26,41.0,1.0,0,1,2,0,1,0,9,0,0,1,5,0,1,3,2,0,5,0
27,36.0,3.0,3,1,2,1,4,0,8,0,5,1,12,1,0,2,2,1,5,0
28,39.0,2.0,2,1,0,0,1,0,9,0,0,1,2,0,1,1,3,0,5,0
29,42.0,39.0,2,1,2,0,1,0,1,0,0,1,2,0,1,3,2,0,5,0
30,32.0,2.0,3,0,0,0,1,0,7,0,10,1,0,0,1,0,0,0,5,0
31,40.0,2.0,0,1,2,1,2,0,8,0,10,1,12,1,1,2,2,1,5,0
32,39.0,39.0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,5,0
33,55.0,2.0,3,0,0,0,1,0,7,0,8,0,0,0,1,0,0,0,5,0
34,46.0,2.0,0,1,2,0,1,0,8,0,8,1,0,0,1,1,0,0,5,0
35,46.0,1.0,3,0,2,0,1,1,9,0,10,1,7,0,1,3,3,0,5,0
36,35.0,2.0,3,1,0,0,1,0,1,1,10,1,5,0,1,1,0,1,5,0
37,35.0,2.0,0,0,2,0,1,1,3,0,5,1,7,1,1,2,2,0,5,0
